date,vt1,vt1.5,vt2,vt2.5,vt3,ma1,ma2,ma3,ny1,ny2,ny3,md1,md2,md3,pa1,pa2,pa3,de1,de2,de3,vt1.cum,vt1.5.cum,vt2.cum,vt2.5.cum,vt3.cum,ma1.cum,ma2.cum,ma3.cum,ny1.cum,ny2.cum,ny3.cum,md1.cum,md2.cum,md3.cum,pa1.cum,pa2.cum,pa3.cum,de1.cum,de2.cum,de3.cum
11/12/21,8.35,8.35,8.35,8.35,8.35,11.50,11.50,11.5,6.83987527,6.83987527,6.83987527,18.5,18.5,18.5,11,0,0,15.05,15.05,0,769.1328099,551.0328099,439.3169717,303.0169717,173.7169717,848.67,528.9315294,83.8014689,559.7185343,163.4064876,37.48834564,787.5044299,340.7766607,54.5,476.1978547,246.6441377,0,533.0169584,111.7669584,0
11/13/21,4.934157975,4.934157975,4.934157975,4.934157975,4.934157975,7.02,7.02,7.017513874,6.091798699,6.091798699,6.091798699,11.24018949,11.24018949,11.24018949,3.618837213,0,0,11.32590676,11.32590676,0,774.0669679,555.9669679,444.2511296,307.9511296,178.6511296,855.69,535.9490432,90.81898277,565.810333,169.4982863,43.58014434,798.7446194,352.0168502,65.74018949,479.8166919,246.6441377,0,544.3428652,123.0928652,0
11/14/21,2.384215734,2.384215734,2.384215734,2.384215734,2.384215734,3.22,3.22,3.215024377,1.124311276,1.124311276,1.124311276,3.821656051,3.821656051,3.821656051,0,0,0,3.017615445,3.017615445,0,776.4511836,558.3511836,446.6353454,310.3353454,181.0353454,858.91,539.1640676,94.03400715,566.9346443,170.6225976,44.70445561,802.5662754,355.8385062,69.56184554,479.8166919,246.6441377,0,547.3604806,126.1104806,0
11/15/21,0,0,0,0,0,2.93,2.93,2.929868874,0.176918245,0.176918245,0.176918245,3.383953161,3.383953161,3.383953161,0,0,0,4.270694103,4.270694103,0,776.4511836,558.3511836,446.6353454,310.3353454,181.0353454,861.84,542.0939365,96.96387602,567.1115625,170.7995158,44.88137386,805.9502286,359.2224594,72.9457987,479.8166919,246.6441377,0,551.6311747,130.3811747,0
11/16/21,0,0,0,0,0,1.69,1.69,1.686699169,0,0,0,3.097741087,3.097741087,3.097741087,0.645414933,0,0,4.406189129,4.406189129,0,776.4511836,558.3511836,446.6353454,310.3353454,181.0353454,863.53,543.7806357,98.65057519,567.1115625,170.7995158,44.88137386,809.0479697,362.3202005,76.04353979,480.4621068,246.6441377,0,556.0373639,134.7873639,0
11/17/21,1.589951954,1.589951954,1.589951954,1.589951954,1.589951954,2.25,2.25,2.248622552,0.102680969,0.102680969,0.102680969,5.443063304,5.443063304,5.443063304,5.036837522,0,0,11.208469,11.208469,11.208469,778.0411356,559.9411356,448.2252973,311.9252973,182.6252973,865.78,546.0292582,100.8991977,567.2142435,170.9021968,44.98405483,814.491033,367.7632638,81.48660309,485.4989444,246.6441377,0,567.2458329,145.9958329,11.208469
11/18/21,8.2,8.2,8.2,8.2,8.2,16.75,16.75,16.75,6.83987527,6.83987527,6.83987527,13,13,13,10.23236038,0.116612728,0.116612728,20.2,20.2,20.2,786.2411356,568.1411356,456.4252973,320.1252973,190.8252973,882.53,562.7792582,117.6491977,574.0541188,177.7420721,51.8239301,827.491033,380.7632638,94.48660309,495.7313047,246.7607505,0.116612728,587.4458329,166.1958329,31.408469
11/19/21,0.189494023,0.189494023,0.189494023,0.189494023,0.189494023,1.87,1.87,1.873977692,6.491754557,6.491754557,6.491754557,17,17,17,0,2.323233438,2.323233438,2.939670137,2.939670137,2.939670137,786.4306296,568.3306296,456.6147913,320.3147913,191.0147913,884.4,564.6532359,119.5231754,580.5458733,184.2338266,58.31568466,844.491033,397.7632638,111.4866031,495.7313047,249.0839839,2.439846166,590.385503,169.135503,34.34813913
11/20/21,0.020668233,0.020668233,0.020668233,0.020668233,0.020668233,1.10,1.10,1.100520204,0,0,0,1.406029516,1.406029516,1.406029516,0.005604168,4.046032325,4.046032325,2.803337987,2.803337987,2.803337987,786.4512978,568.3512978,456.6354596,320.3354596,191.0354596,885.5,565.7537561,120.6236956,580.5458733,184.2338266,58.31568466,845.8970625,399.1692933,112.8926326,495.7369089,253.1300162,6.485878491,593.188841,171.938841,37.15147712
11/21/21,3.171291792,3.171291792,3.171291792,3.171291792,3.171291792,3.98,3.98,3.984443056,0,0,0,2.700650252,2.700650252,2.700650252,0.889688154,4.135402398,4.135402398,7.284103069,7.284103069,7.284103069,789.6225896,571.5225896,459.8067514,323.5067514,194.2067514,889.48,569.7381992,124.6081387,580.5458733,184.2338266,58.31568466,848.5977128,401.8699435,115.5932829,496.6265971,257.2654186,10.62128089,600.4729441,179.2229441,44.43558019
